Network: Ekiti road adjacency, 16 towns, eps=0.3, rho=0.15, 10yr horizon (fine scan)
  n_steps=10950, dt=0.01667, burn_in_steps=521
Deriving data-driven threshold grid from a diagnostic off run ...
  iota_hat thresholds (p[1, 20, 40, 55, 70, 85, 99]): [0.19124 0.27788 0.29136 0.30078 0.3104  0.3211  0.34474]
  phi thresholds (p[1, 20, 40, 55, 70, 85, 99]): [0.20911 0.2877  0.29635 0.30647 0.31725 0.32507 0.3305 ]

Sweeping trigger grid, driver=iota_hat ...
    driver=phi T=0.30647 S=0.30 effort=0.0186 active_frac=0.0619 symp_trig=12381801 cases_averted=546692 cases_averted_const=513987 rate_trig=0.02697 rate_const=0.00157 episodes=212.0  (86.5s)
    driver=phi T=0.30647 S=0.20 effort=0.0206 active_frac=0.1028 symp_trig=12344137 cases_averted=584356 cases_averted_const=569460 rate_trig=0.01738 rate_const=0.00174 episodes=403.4  (87.1s)
    driver=phi T=0.30647 S=0.15 effort=0.0199 active_frac=0.1329 symp_trig=12366316 cases_averted=562177 cases_averted_const=551964 rate_trig=0.01293 rate_const=0.00169 episodes=409.7  (86.4s)
    driver=phi T=0.30647 S=0.10 effort=0.0165 active_frac=0.1650 symp_trig=12463936 cases_averted=464557 cases_averted_const=455213 rate_trig=0.00860 rate_const=0.00139 episodes=439.7  (86.4s)
    driver=phi T=0.31725 S=0.50 effort=0.0239 active_frac=0.0477 symp_trig=12223871 cases_averted=704622 cases_averted_const=662915 rate_trig=0.04511 rate_const=0.00203 episodes=184.2  (86.5s)
    driver=phi T=0.31725 S=0.30 effort=0.0162 active_frac=0.0541 symp_trig=12460986 cases_averted=467507 cases_averted_const=447427 rate_trig=0.02642 rate_const=0.00137 episodes=180.5  (86.4s)
    driver=phi T=0.31725 S=0.20 effort=0.0121 active_frac=0.0606 symp_trig=12583955 cases_averted=344538 cases_averted_const=332702 rate_trig=0.01738 rate_const=0.00102 episodes=179.5  (90.6s)
    driver=phi T=0.31725 S=0.15 effort=0.0102 active_frac=0.0677 symp_trig=12642024 cases_averted=286470 cases_averted_const=277796 rate_trig=0.01293 rate_const=0.00085 episodes=183.2  (91.1s)
    driver=phi T=0.31725 S=0.10 effort=0.0087 active_frac=0.0865 symp_trig=12686850 cases_averted=241643 cases_averted_const=237004 rate_trig=0.00853 rate_const=0.00072 episodes=212.8  (90.8s)
    driver=phi T=0.32507 S=0.50 effort=0.0129 active_frac=0.0258 symp_trig=12559611 cases_averted=368882 cases_averted_const=354705 rate_trig=0.04367 rate_const=0.00108 episodes=217.6  (91.2s)
    driver=phi T=0.32507 S=0.30 effort=0.0102 active_frac=0.0339 symp_trig=12644302 cases_averted=284191 cases_averted_const=278724 rate_trig=0.02560 rate_const=0.00085 episodes=235.9  (90.7s)
    driver=phi T=0.32507 S=0.20 effort=0.0081 active_frac=0.0403 symp_trig=12705961 cases_averted=222532 cases_averted_const=220252 rate_trig=0.01686 rate_const=0.00067 episodes=243.1  (90.8s)
    driver=phi T=0.32507 S=0.15 effort=0.0067 active_frac=0.0450 symp_trig=12743958 cases_averted=184535 cases_averted_const=184105 rate_trig=0.01253 rate_const=0.00056 episodes=246.4  (91.0s)
    driver=phi T=0.32507 S=0.10 effort=0.0052 active_frac=0.0520 symp_trig=12786650 cases_averted=141844 cases_averted_const=141382 rate_trig=0.00834 rate_const=0.00043 episodes=252.4  (90.9s)
    driver=phi T=0.3305 S=0.50 effort=0.0014 active_frac=0.0027 symp_trig=12884548 cases_averted=43945 cases_averted_const=36339 rate_trig=0.04941 rate_const=0.00011 episodes=59.2  (90.6s)
    driver=phi T=0.3305 S=0.30 effort=0.0009 active_frac=0.0031 symp_trig=12898983 cases_averted=29510 cases_averted_const=24344 rate_trig=0.02945 rate_const=0.00007 episodes=65.6  (90.6s)
    driver=phi T=0.3305 S=0.20 effort=0.0007 active_frac=0.0035 symp_trig=12906544 cases_averted=21950 cases_averted_const=18440 rate_trig=0.01912 rate_const=0.00006 episodes=72.0  (90.9s)
    driver=phi T=0.3305 S=0.15 effort=0.0006 active_frac=0.0037 symp_trig=12911316 cases_averted=17177 cases_averted_const=14674 rate_trig=0.01427 rate_const=0.00004 episodes=74.4  (91.0s)
    driver=phi T=0.3305 S=0.10 effort=0.0004 active_frac=0.0042 symp_trig=12916168 cases_averted=12325 cases_averted_const=11270 rate_trig=0.00894 rate_const=0.00003 episodes=80.9  (91.0s)
  driver=phi total: 3163.4s

Wrote figures to G:\My Drive\Colab Notebooks\all_hackathons\ML_epidemiology\ML_epidemiology_public\research\CB_EWS\code_trigger\figures
